Colorado Department of Revenue,,,,
Marijuana Sales by County Report,,,,
January 2014 to Date,,,,
,,,,
Month,Year,County,Medical Marijuana Sales ¹,Retail Marijuana Sales ²
1,2014, Total,"$32,541,720 ","$14,022,213 "
1,2014,Adams,"$683,098 ",NR
1,2014,Alamosa,NR,NA
1,2014,Arapahoe,"$1,188,232 ",NA
1,2014,Archuleta,NR,NA
1,2014,Boulder,"$3,417,873 ",NA
1,2014,Chaffee,"$83,714 ",NA
1,2014,Clear Creek,"$143,736 ","$459,640 "
1,2014,Costilla,NR,NA
1,2014,Denver,"$15,351,083 ","$8,482,593 "
1,2014,Eagle,"$203,060 ",NA
1,2014,El Paso,"$4,923,633 ",NA
1,2014,Fremont,"$134,388 ",NA
1,2014,Garfield,"$396,086 ",NR
1,2014,Gilpin,"$28,798 ","$197,379 "
1,2014,Grand,NR,NA
1,2014,Gunnison,"$36,244 ",NR
1,2014,Jefferson,"$1,979,386 ","$853,675 "
1,2014,La Plata,"$523,193 ",NA
1,2014,Lake,NA,NR
1,2014,Larimer,"$964,948 ",NA
1,2014,Mesa,NR,NA
1,2014,Moffat,NR,NA
1,2014,Montezuma,"$100,634 ",NA
1,2014,Montrose,NR,NA
1,2014,Ouray,NR,NR
1,2014,Park,NR,NR
1,2014,Pitkin,"$194,865 ",NA
1,2014,Pueblo,"$419,894 ",NR
1,2014,Routt,"$239,509 ",NR
1,2014,San Miguel,"$164,384 ","$338,934 "
1,2014,Sedgwick,NR,NA
1,2014,Summit,"$271,441 ","$1,274,208 "
1,2014,Teller,NR,NA
1,2014,Weld,"$657,150 ",NR
2,2014, Total,"$31,738,572 ","$14,248,473 "
2,2014,Adams,"$454,940 ",NR
2,2014,Alamosa,NR,NA
2,2014,Arapahoe,"$1,210,155 ",NA
2,2014,Archuleta,NR,NA
2,2014,Boulder,"$3,345,413 ",NR
2,2014,Chaffee,NR,NA
2,2014,Clear Creek,"$111,164 ","$445,976 "
2,2014,Costilla,NR,NA
2,2014,Denver,"$14,680,476 ","$8,349,069 "
2,2014,Eagle,"$185,360 ",NA
2,2014,El Paso,"$5,116,438 ",NA
