Year,Quarter 1,Quarter 2,Quarter 3,Quarter 4,Annual
2000,166.667,168.467,169.7,170.733,168.892
2001,172.233,174.167,174.133,173.533,173.517
2002,173.867,175.833,176.567,177.233,175.875
2003,179.067,179.6,180.3,180.267,179.808
2004,181.9,184.5,185.1,186.433,184.483
2005,187.4,190.1,192.7,193.7,190.975
2006,194.5,198,199.067,197,197.142
2007,198.905,203.232,203.596,205.335,202.767
2008,207.715,212.903,215.495,208.097,211.053
2009,206.542,209.224,211.001,211.752,209.63
2010,212.879,213.974,214.136,214.878,213.967
2011,217.986,222.406,223.233,222.674,221.575
2012,224.612,226.549,226.936,226.819,226.229
2013,228.173,229.45,230.327,229.347,229.324
2014,231.157,234.12,234.242,231.563,232.771
2015,229.59,232.744,233.278,231.628,231.81
2016,231.414,234.388,235.057,235.446,234.076
2017,237.329,238.618,239.668,240.588,239.051
2018,242.79,245.524,246.352,245.919,245.146
2019,246.373,249.65,250.2,250.663,249.222
2020,251.557,250.03,253.412,253.994,252.248
2021,257.025,263.754,268.421,272.84,265.51
